Concept,Attributes,Group
Median Age by Geographical Mobility in the Past Year for Current Residence in Puerto Rico,"B07002PR_001EA,  B07002PR_001M,  B07002PR_001MA",B07002PR
Geographical Mobility in the Past Year by Sex for Current Residence in the United States,"B07003_001EA,  B07003_001M,  B07003_001MA",B07003
Geographical Mobility in the Past Year by Sex for Current Residence in Puerto Rico,"B07003PR_001EA,  B07003PR_001M,  B07003PR_001MA",B07003PR
Geographical Mobility in the Past Year (White Alone) for Current Residence in the United States,"B07004A_001EA,  B07004A_001M,  B07004A_001MA",B07004A
Geographical Mobility in the Past Year (White Alone) for Current Residence in Puerto Rico,"B07004APR_001EA,  B07004APR_001M,  B07004APR_001MA",B07004APR
Geographical Mobility in the Past Year (Black or African American Alone) for Current Residence in the United States,"B07004B_001EA,  B07004B_001M,  B07004B_001MA",B07004B
Geographical Mobility in the Past Year (Black or African American Alone) for Current Residence in Puerto Rico,"B07004BPR_001EA,  B07004BPR_001M,  B07004BPR_001MA",B07004BPR
Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Current Residence in the United States,"B07004C_001EA,  B07004C_001M,  B07004C_001MA",B07004C
Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Current Residence in Puerto Rico,"B07004CPR_001EA,  B07004CPR_001M,  B07004CPR_001MA",B07004CPR
Geographical Mobility in the Past Year (Asian Alone) for Current Residence in the United States,"B07004D_001EA,  B07004D_001M,  B07004D_001MA",B07004D
Geographical Mobility in the Past Year (Asian Alone) for Current Residence in Puerto Rico,"B07004DPR_001EA,  B07004DPR_001M,  B07004DPR_001MA",B07004DPR
Geographical Mobility in the Past Year (Native Hawaiian and Other Pacific Islander Alone) for Current Residence in the United States,"B07004E_001EA,  B07004E_001M,  B07004E_001MA",B07004E
Geographical Mobility in the Past Year (Native Hawaiian and Other Pacific Islander Alone) for Current Residence in Puerto Rico,"B07004EPR_001EA,  B07004EPR_001M,  B07004EPR_001MA",B07004EPR
Geographical Mobility in the Past Year (Some Other Race Alone) for Current Residence in the United States,"B07004F_001EA,  B07004F_001M,  B07004F_001MA",B07004F
Geographical Mobility in the Past Year (Some Other Race Alone) for Current Residence in Puerto Rico,"B07004FPR_001EA,  B07004FPR_001M,  B07004FPR_001MA",B07004FPR
Geographical Mobility in the Past Year (Two or More Races) for Current Residence in the United States,"B07004G_001EA,  B07004G_001M,  B07004G_001MA",B07004G
Geographical Mobility in the Past Year (Two or More Races) for Current Residence in Puerto Rico,"B07004GPR_001EA,  B07004GPR_001M,  B07004GPR_001MA",B07004GPR
"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Current Residence in the United States","B07004H_001EA,  B07004H_001M,  B07004H_001MA",B07004H
"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Current Residence in Puerto Rico","B07004HPR_001EA,  B07004HPR_001M,  B07004HPR_001MA",B07004HPR
Geographical Mobility in the Past Year (Hispanic or Latino) for Current Residence in the United States,"B07004I_001EA,  B07004I_001M,  B07004I_001MA",B07004I
Geographical Mobility in the Past Year (Hispanic or Latino) for Current Residence in Puerto Rico,"B07004IPR_001EA,  B07004IPR_001M,  B07004IPR_001MA",B07004IPR
Geographical Mobility in the Past Year by Citizenship Status for Current Residence in the United States,"B07007_001EA,  B07007_001M,  B07007_001MA",B07007
Geographical Mobility in the Past Year by Citizenship Status for Current Residence in Puerto Rico,"B07007PR_001EA,  B07007PR_001M,  B07007PR_001MA",B07007PR
Geographical Mobility in the Past Year by Marital Status for Current Residence in the United States,"B07008_001EA,  B07008_001M,  B07008_001MA",B07008
Geographical Mobility in the Past Year by Marital Status for Current Residence in Puerto Rico,"B07008PR_001EA,  B07008PR_001M,  B07008PR_001MA",B07008PR
Geographical Mobility in the Past Year by Educational Attainment for Current Residence in the United States,"B07009_001EA,  B07009_001M,  B07009_001MA",B07009
Geographical Mobility in the Past Year by Educational Attainment for Current Residence in Puerto Rico,"B07009PR_001EA,  B07009PR_001M,  B07009PR_001MA",B07009PR
Geographical Mobility in the Past Year by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Current Residence in the United States,"B07010_001EA,  B07010_001M,  B07010_001MA",B07010
Geographical Mobility in the Past Year by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Current Residence in Puerto Rico,"B07010PR_001EA,  B07010PR_001M,  B07010PR_001MA",B07010PR
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Geographical Mobility in the Past Year for Current Residence in the United States,"B07011_001EA,  B07011_001M,  B07011_001MA",B07011
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Geographical Mobility in the Past Year for Current Residence in Puerto Rico,"B07011PR_001EA,  B07011PR_001M,  B07011PR_001MA",B07011PR
Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Current Residence in the United States,"B07012_001EA,  B07012_001M,  B07012_001MA",B07012
Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Current Residence in Puerto Rico,"B07012PR_001EA,  B07012PR_001M,  B07012PR_001MA",B07012PR
Geographical Mobility in the Past Year by Tenure for Current Residence in the United States,"B07013_001EA,  B07013_001M,  B07013_001MA",B07013
Geographical Mobility in the Past Year by Tenure for Current Residence in Puerto Rico,"B07013PR_001EA,  B07013PR_001M,  B07013PR_001MA",B07013PR
Movers Between Regions in the United States,"B07101_001EA,  B07101_001M,  B07101_001MA",B07101
Geographical Mobility in the Past Year for Current Residence--Metropolitan Statistical Area Level in the United States,"B07201_001EA,  B07201_001M,  B07201_001MA",B07201
Geographical Mobility in the Past Year for Current Residence--Metropolitan Statistical Area Level in Puerto Rico,"B07201PR_001EA,  B07201PR_001M,  B07201PR_001MA",B07201PR
Geographical Mobility in the Past Year for Current Residence--Micropolitan Statistical Area Level in the United States,"B07202_001EA,  B07202_001M,  B07202_001MA",B07202
Geographical Mobility in the Past Year for Current Residence--Micropolitan Statistical Area Level in Puerto Rico,"B07202PR_001EA,  B07202PR_001M,  B07202PR_001MA",B07202PR
Geographical Mobility in the Past Year for Current Residence--Not Metropolitan or Micropolitan Statistical Area Level in the United States,"B07203_001EA,  B07203_001M,  B07203_001MA",B07203
Geographical Mobility in the Past Year for Current Residence--Not Metropolitan or Micropolitan Statistical Area Level in Puerto Rico,"B07203PR_001EA,  B07203PR_001M,  B07203PR_001MA",B07203PR
"Geographical Mobility in the Past Year for Current Residence--State, County and Place Level in the United States","B07204_001EA,  B07204_001M,  B07204_001MA",B07204
"Geographical Mobility in the Past Year for Current Residence--State, County and Place Level in Puerto Rico","B07204PR_001EA,  B07204PR_001M,  B07204PR_001MA",B07204PR
Geographical Mobility in the Past Year by Age for Residence 1 Year Ago in the United States,"B07401_001EA,  B07401_001M,  B07401_001MA",B07401
Geographical Mobility in the Past Year by Age for Residence 1 Year Ago in Puerto Rico,"B07401PR_001EA,  B07401PR_001M,  B07401PR_001MA",B07401PR
Median Age by Geographical Mobility in the Past Year for Residence 1 Year Ago in the United States,"B07402_001EA,  B07402_001M,  B07402_001MA",B07402
Median Age by Geographical Mobility in the Past Year for Residence 1 Year Ago in Puerto Rico,"B07402PR_001EA,  B07402PR_001M,  B07402PR_001MA",B07402PR
Geographical Mobility in the Past Year by Sex for Residence 1 Year Ago in the United States,"B07403_001EA,  B07403_001M,  B07403_001MA",B07403
Geographical Mobility in the Past Year by Sex for Residence 1 Year Ago in Puerto Rico,"B07403PR_001EA,  B07403PR_001M,  B07403PR_001MA",B07403PR
Geographical Mobility in the Past Year (White Alone) for Residence 1 Year Ago in the United States,"B07404A_001EA,  B07404A_001M,  B07404A_001MA",B07404A
Geographical Mobility in the Past Year (White Alone) for Residence 1 Year Ago in Puerto Rico,"B07404APR_001EA,  B07404APR_001M,  B07404APR_001MA",B07404APR
Geographical Mobility in the Past Year (Black or African American Alone) for Residence 1 Year Ago in the United States,"B07404B_001EA,  B07404B_001M,  B07404B_001MA",B07404B
Geographical Mobility in the Past Year (Black or African American Alone) for Residence 1 Year Ago in Puerto Rico,"B07404BPR_001EA,  B07404BPR_001M,  B07404BPR_001MA",B07404BPR
Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Residence 1 Year Ago in the United States,"B07404C_001EA,  B07404C_001M,  B07404C_001MA",B07404C
Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Residence 1 Year Ago in Puerto Rico,"B07404CPR_001EA,  B07404CPR_001M,  B07404CPR_001MA",B07404CPR
Geographical Mobility in the Past Year (Asian Alone) for Residence 1 Year Ago in the United States,"B07404D_001EA,  B07404D_001M,  B07404D_001MA",B07404D
Geographical Mobility in the Past Year (Asian Alone) for Residence 1 Year Ago in Puerto Rico,"B07404DPR_001EA,  B07404DPR_001M,  B07404DPR_001MA",B07404DPR
Geographical Mobility in the Past Year (Native Hawaiian and Other Pacific Islander Alone) for Residence 1 Year Ago in the United States,"B07404E_001EA,  B07404E_001M,  B07404E_001MA",B07404E
Geographical Mobility in the Past Year (Native Hawaiian and Other Pacific Islander Alone) for Residence 1 Year Ago in Puerto Rico,"B07404EPR_001EA,  B07404EPR_001M,  B07404EPR_001MA",B07404EPR
Geographical Mobility in the Past Year (Some Other Race Alone) for Residence 1 Year Ago in the United States,"B07404F_001EA,  B07404F_001M,  B07404F_001MA",B07404F
Geographical Mobility in the Past Year (Some Other Race Alone) for Residence 1 Year Ago in Puerto Rico,"B07404FPR_001EA,  B07404FPR_001M,  B07404FPR_001MA",B07404FPR
Geographical Mobility in the Past Year (Two or More Races) for Residence 1 Year Ago in the United States,"B07404G_001EA,  B07404G_001M,  B07404G_001MA",B07404G
Geographical Mobility in the Past Year (Two or More Races) for Residence 1 Year Ago in Puerto Rico,"B07404GPR_001EA,  B07404GPR_001M,  B07404GPR_001MA",B07404GPR
"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Residence 1 Year Ago in the United States","B07404H_001EA,  B07404H_001M,  B07404H_001MA",B07404H
"Geographical Mobility in the Past Year (White Alone, Not Hispanic or Latino) for Residence 1 Year Ago in Puerto Rico","B07404HPR_001EA,  B07404HPR_001M,  B07404HPR_001MA",B07404HPR
Geographical Mobility in the Past Year (Hispanic or Latino) for Residence 1 Year Ago in the United States,"B07404I_001EA,  B07404I_001M,  B07404I_001MA",B07404I
Geographical Mobility in the Past Year (Hispanic or Latino) for Residence 1 Year Ago in Puerto Rico,"B07404IPR_001EA,  B07404IPR_001M,  B07404IPR_001MA",B07404IPR
Geographical Mobility in the Past Year by Citizenship Status for Residence 1 Year Ago in the United States,"B07407_001EA,  B07407_001M,  B07407_001MA",B07407
Geographical Mobility in the Past Year by Citizenship Status for Residence 1 Year Ago in Puerto Rico,"B07407PR_001EA,  B07407PR_001M,  B07407PR_001MA",B07407PR
Geographical Mobility in the Past Year by Marital Status for Residence 1 Year Ago in the United States,"B07408_001EA,  B07408_001M,  B07408_001MA",B07408
Geographical Mobility in the Past Year by Marital Status for Residence 1 Year Ago in Puerto Rico,"B07408PR_001EA,  B07408PR_001M,  B07408PR_001MA",B07408PR
Geographical Mobility in the Past Year by Educational Attainment for Residence 1 Year Ago in the United States,"B07409_001EA,  B07409_001M,  B07409_001MA",B07409
Geographical Mobility in the Past Year by Educational Attainment for Residence 1 Year Ago in Puerto Rico,"B07409PR_001EA,  B07409PR_001M,  B07409PR_001MA",B07409PR
Geographical Mobility in the Past Year by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Residence 1 Year Ago in the United States,"B07410_001EA,  B07410_001M,  B07410_001MA",B07410
Geographical Mobility in the Past Year by Individual Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Residence 1 Year Ago in Puerto Rico,"B07410PR_001EA,  B07410PR_001M,  B07410PR_001MA",B07410PR
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Geographical Mobility in the Past Year for Residence 1 Year Ago in the United States,"B07411_001EA,  B07411_001M,  B07411_001MA",B07411
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Geographical Mobility in the Past Year for Residence 1 Year Ago in Puerto Rico,"B07411PR_001EA,  B07411PR_001M,  B07411PR_001MA",B07411PR
Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Residence 1 Year Ago in the United States,"B07412_001EA,  B07412_001M,  B07412_001MA",B07412
Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Residence 1 Year Ago in Puerto Rico,"B07412PR_001EA,  B07412PR_001M,  B07412PR_001MA",B07412PR
Geographical Mobility in the Past Year by Tenure for Residence 1 Year Ago in the United States,"B07413_001EA,  B07413_001M,  B07413_001MA",B07413
Geographical Mobility in the Past Year by Tenure for Residence 1 Year Ago in Puerto Rico,"B07413PR_001EA,  B07413PR_001M,  B07413PR_001MA",B07413PR
Sex of Workers by Means of Transportation to Work,"B08006_001EA,  B08006_001M,  B08006_001MA",B08006
Sex of Workers by Place of Work--State and County Level,"B08007_001EA,  B08007_001M,  B08007_001MA",B08007
Sex of Workers by Place of Work--Place Level,"B08008_001EA,  B08008_001M,  B08008_001MA",B08008
"Sex of Workers by Place of Work--Minor Civil Division Level for 12 Selected States (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI)","B08009_001EA,  B08009_001M,  B08009_001MA",B08009
Sex of Workers by Time of Departure to Go to Work,"B08011_001EA,  B08011_001M,  B08011_001MA",B08011
Sex of Workers by Travel Time to Work,"B08012_001EA,  B08012_001M,  B08012_001MA",B08012
Aggregate Travel Time to Work (in Minutes) of Workers by Sex,"B08013_001EA,  B08013_001M,  B08013_001MA",B08013
Sex of Workers by Vehicles Available,"B08014_001EA,  B08014_001M,  B08014_001MA",B08014
"Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting by Workers 16 Years and Over by Sex","B08015_001EA,  B08015_001M,  B08015_001MA",B08015
Place of Work for Workers 16 Years and Over--Metropolitan Statistical Area Level,"B08016_001EA,  B08016_001M,  B08016_001MA",B08016
Place of Work for Workers 16 Years and Over--Micropolitan Statistical Area Level,"B08017_001EA,  B08017_001M,  B08017_001MA",B08017
Place of Work for Workers 16 Years and Over--Not Metropolitan or Micropolitan Statistical Area Level,"B08018_001EA,  B08018_001M,  B08018_001MA",B08018
Means of Transportation to Work by Age,"B08101_001EA,  B08101_001M,  B08101_001MA",B08101
Median Age by Means of Transportation to Work,"B08103_001EA,  B08103_001M,  B08103_001MA",B08103
Means of Transportation to Work (White Alone),"B08105A_001EA,  B08105A_001M,  B08105A_001MA",B08105A
Means of Transportation to Work (Black or African American Alone),"B08105B_001EA,  B08105B_001M,  B08105B_001MA",B08105B
Means of Transportation to Work (American Indian and Alaska Native Alone),"B08105C_001EA,  B08105C_001M,  B08105C_001MA",B08105C
Means of Transportation to Work (Asian Alone),"B08105D_001EA,  B08105D_001M,  B08105D_001MA",B08105D
Means of Transportation to Work (Native Hawaiian and Other Pacific Islander Alone),"B08105E_001EA,  B08105E_001M,  B08105E_001MA",B08105E
Means of Transportation to Work (Some Other Race Alone),"B08105F_001EA,  B08105F_001M,  B08105F_001MA",B08105F
Means of Transportation to Work (Two or More Races),"B08105G_001EA,  B08105G_001M,  B08105G_001MA",B08105G
"Means of Transportation to Work (White Alone, Not Hispanic or Latino)","B08105H_001EA,  B08105H_001M,  B08105H_001MA",B08105H
Means of Transportation to Work (Hispanic or Latino),"B08105I_001EA,  B08105I_001M,  B08105I_001MA",B08105I
Means of Transportation to Work by Citizenship Status,"B08111_001EA,  B08111_001M,  B08111_001MA",B08111
