MATRIC#,SEASON,SURVEY_SCORE,MATRICYR
2697,W,69.0%,23
1288,W,66.0%,23
1291,W,67.0%,23
786,W,85.0%,23
313,W,55.0%,23
4252,W,75.0%,23
5024,W,37.0%,23
4333,W,66.0%,23
1331,W,56.0%,23
5443,W,62.0%,23
4167,W,67.0%,23
4717,W,85.0%,23
151,W,55.0%,23
99,W,55.0%,23
41,W,68.0%,23
745,W,73.0%,23
4701,W,59.0%,23
4453,W,69.0%,23
3118,W,76.0%,23
2854,W,66.0%,23
4156,W,58.0%,23
1918,W,49.0%,23
4646,W,61.0%,23
213,W,54.0%,23
4567,W,47.0%,23
3295,W,71.0%,23
5026,W,73.0%,23
2315,W,66.0%,23
3805,W,54.0%,23
3941,W,50.0%,23
5217,W,64.0%,23
1815,W,88.0%,23
4898,W,59.0%,23
3558,W,57.0%,23
560,W,72.0%,23
351,W,63.0%,23
4074,W,69.0%,23
1499,W,64.0%,23
1967,W,72.0%,23
4394,W,43.0%,23
23,W,59.0%,23
4402,W,64.0%,23
3287,W,65.0%,23
1679,W,79.0%,23
3925,W,55.0%,23
1541,W,62.0%,23
51,W,59.0%,23
1893,W,75.0%,23
2359,W,63.0%,23
1000,W,58.0%,23
1491,W,55.0%,23
3049,W,58.0%,23
1127,W,64.0%,23
4690,W,78.0%,23
1165,W,60.0%,23
5440,W,92.0%,23
4811,W,86.0%,23
2165,W,69.0%,23
3856,W,61.0%,23
442,W,66.0%,23
2708,W,43.0%,23
4323,W,56.0%,23
3235,W,76.0%,23
4688,W,38.0%,23
4571,W,55.0%,23
2935,W,57.0%,23
4005,W,50.0%,23
2643,W,69.0%,23
4873,W,55.0%,23
812,W,60.0%,23
4144,W,60.0%,23
4915,W,61.0%,23
2373,W,72.0%,23
1676,W,72.0%,23
2668,W,46.0%,23
2652,W,73.0%,23
5259,W,60.0%,23
405,W,58.0%,23
4750,W,60.0%,23
5077,W,71.0%,23
2985,W,64.0%,23
3192,W,52.0%,23
2874,W,72.0%,23
706,W,70.0%,23
3598,W,67.0%,23
4158,W,73.0%,23
3300,W,58.0%,23
3529,W,65.0%,23
1248,W,70.0%,23
3697,W,62.0%,23
5253,W,56.0%,23
2901,W,81.0%,23
2278,W,57.0%,23
102,W,64.0%,23
4854,W,60.0%,23
3821,W,52.0%,23
2308,W,77.0%,23
3768,W,72.0%,23
632,W,68.0%,23
987,W,77.0%,23
2195,W,65.0%,23
4944,W,47.0%,23
4208,W,65.0%,23
3637,W,58.0%,23
1869,W,73.0%,23
3067,W,63.0%,23
2765,W,54.0%,23
2860,W,51.0%,23
4066,W,80.0%,23
1994,W,65.0%,23
2258,W,60.0%,23
2520,W,50.0%,23
5155,W,52.0%,23
1175,W,79.0%,23
710,W,63.0%,23
3167,W,70.0%,23
289,W,50.0%,23
2185,W,70.0%,23
4565,W,61.0%,23
4626,W,54.0%,23
692,W,52.0%,23
2808,W,74.0%,23
4772,W,75.0%,23
5164,W,67.0%,23
2329,W,76.0%,23
3634,W,71.0%,23
3586,W,73.0%,23
4513,W,59.0%,23
3704,W,67.0%,23
4879,W,44.0%,23
1043,W,76.0%,23
5146,W,67.0%,23
2321,W,77.0%,23
2309,W,94.0%,23
312,W,66.0%,23
1488,W,59.0%,23
352,W,81.0%,23
117,W,70.0%,23
4525,W,71.0%,23
1384,W,62.0%,23
4860,W,79.0%,23
4378,W,51.0%,23
4076,W,69.0%,23
4400,W,74.0%,23
2171,W,40.0%,23
4027,W,75.0%,23
903,W,52.0%,23
5203,W,71.0%,23
4218,W,74.0%,23
5319,W,57.0%,23
3173,W,66.0%,23
5062,W,60.0%,23
2548,W,59.0%,23
640,W,62.0%,23
1783,W,75.0%,23
2306,W,81.0%,23
3369,W,78.0%,23
4486,W,63.0%,23
4527,W,56.0%,23
3290,W,47.0%,23
2433,W,63.0%,23
630,W,49.0%,23
4450,W,85.0%,23
1083,W,80.0%,23
5392,W,59.0%,23
3230,W,75.0%,23
477,W,69.0%,23
521,W,67.0%,23
4971,W,63.0%,23
2499,W,64.0%,23
814,W,60.0%,23
2679,W,77.0%,23
1650,W,52.0%,23
2579,W,64.0%,23
2178,W,72.0%,23
3924,W,62.0%,23
1767,W,63.0%,23
1402,W,66.0%,23
3190,W,50.0%,23
4678,W,71.0%,23
2568,W,78.0%,23
2481,W,68.0%,23
3921,W,86.0%,23
2619,W,49.0%,23
4313,W,63.0%,23
1168,W,78.0%,23
1212,W,89.0%,23
4712,W,62.0%,23
3447,W,69.0%,23
3883,W,67.0%,23
2382,W,69.0%,23
5065,W,49.0%,23
3151,W,61.0%,23
3352,W,67.0%,23
4261,W,66.0%,23
2683,W,59.0%,23
5075,W,54.0%,23
2419,W,79.0%,23
249,W,61.0%,23
285,W,60.0%,23
206,W,57.0%,23
479,W,56.0%,23
4205,W,80.0%,23
2155,W,55.0%,23
4886,W,62.0%,23
2980,W,85.0%,23
2578,W,81.0%,23
2062,W,81.0%,23
1604,W,73.0%,23
871,W,88.0%,23
5104,W,56.0%,23
5189,W,70.0%,23
615,W,27.0%,23
4558,W,65.0%,23
4418,W,56.0%,23
3289,W,59.0%,23
564,W,76.0%,23
2504,W,40.0%,23
2293,W,60.0%,23
986,W,79.0%,23
2135,W,59.0%,23
4737,W,61.0%,23
5030,W,65.0%,23
1514,W,79.0%,23
3248,W,73.0%,23
1941,W,72.0%,23
4739,W,78.0%,23
1518,W,72.0%,23
4728,W,74.0%,23
373,W,56.0%,23
3372,W,66.0%,23
5247,W,72.0%,23
914,W,71.0%,23
4631,W,55.0%,23
2802,W,76.0%,23
1747,W,78.0%,23
2588,W,68.0%,23
1836,W,65.0%,23
2508,W,69.0%,23
3868,W,55.0%,23
74,W,70.0%,23
5133,W,57.0%,23
1424,W,63.0%,23
1617,W,63.0%,23
585,W,51.0%,23
105,W,59.0%,23
5076,W,68.0%,23
3070,W,69.0%,23
611,W,69.0%,23
4679,W,83.0%,23
1191,W,78.0%,23
3712,W,72.0%,23
1427,W,55.0%,23
2144,W,58.0%,23
850,W,72.0%,23
2066,W,79.0%,23
2703,W,76.0%,23
3724,W,61.0%,23
2793,W,67.0%,23
2041,W,83.0%,23
1621,W,80.0%,23
4346,W,71.0%,23
1003,W,58.0%,23
953,W,67.0%,23
1461,W,62.0%,23
2882,W,81.0%,23
713,W,74.0%,23
2532,W,68.0%,23
3335,W,62.0%,23
3401,W,63.0%,23
3324,W,47.0%,23
505,W,70.0%,23
3030,W,52.0%,23
4602,W,79.0%,23
3421,W,86.0%,23
2563,W,64.0%,23
1201,W,70.0%,23
714,W,76.0%,23
4913,W,58.0%,23
4351,W,71.0%,23
1932,W,71.0%,23
4622,W,70.0%,23
3057,W,56.0%,23
2662,W,70.0%,23
3449,W,60.0%,23
847,W,59.0%,23
4649,W,81.0%,23
2603,W,86.0%,23
3780,W,65.0%,23
5234,W,63.0%,23
3579,W,78.0%,23
3224,W,79.0%,23
3075,W,65.0%,23
456,W,71.0%,23
983,W,63.0%,23
4367,W,69.0%,23
4674,W,68.0%,23
2797,W,65.0%,23
