MATRIC#,SEASON,SURVEY_SCORE,MATRICYR
1420,W,72.0%,21
2068,W,61.0%,21
2483,W,68.0%,21
1476,W,78.0%,21
3033,W,39.0%,21
21,W,80.0%,21
657,W,76.0%,21
2161,W,69.0%,21
279,W,66.0%,21
1347,W,72.0%,21
1209,W,63.0%,21
1243,W,58.0%,21
3089,W,57.0%,21
3163,W,66.0%,21
2702,W,80.0%,21
2292,W,56.0%,21
2210,W,73.0%,21
3497,W,60.0%,21
2605,W,75.0%,21
3609,W,78.0%,21
893,W,74.0%,21
2080,W,58.0%,21
1687,W,61.0%,21
3575,W,68.0%,21
998,W,39.0%,21
399,W,63.0%,21
1910,W,57.0%,21
2936,W,77.0%,21
1386,W,56.0%,21
1422,W,70.0%,21
1916,W,68.0%,21
1365,W,68.0%,21
1663,W,71.0%,21
2674,W,61.0%,21
2885,W,77.0%,21
1540,W,78.0%,21
3068,W,47.0%,21
204,W,74.0%,21
682,W,64.0%,21
2587,W,61.0%,21
3341,W,69.0%,21
1852,W,74.0%,21
3606,W,76.0%,21
321,W,51.0%,21
2915,W,57.0%,21
2703,W,75.0%,21
331,W,66.0%,21
233,W,59.0%,21
1241,W,73.0%,21
2307,W,79.0%,21
3475,W,66.0%,21
1523,W,69.0%,21
2544,W,66.0%,21
2380,W,61.0%,21
3059,W,51.0%,21
3008,W,80.0%,21
1881,W,66.0%,21
2337,W,58.0%,21
2174,W,67.0%,21
1298,W,88.0%,21
558,W,47.0%,21
283,W,71.0%,21
2287,W,68.0%,21
296,W,43.0%,21
3032,W,62.0%,21
3454,W,60.0%,21
2265,W,65.0%,21
242,W,89.0%,21
2071,W,80.0%,21
3367,W,74.0%,21
1191,W,50.0%,21
1897,W,46.0%,21
1594,W,73.0%,21
3594,W,62.0%,21
1035,W,56.0%,21
1826,W,52.0%,21
643,W,56.0%,21
879,W,80.0%,21
747,W,57.0%,21
3259,W,51.0%,21
2905,W,55.0%,21
1577,W,72.0%,21
3029,W,54.0%,21
1638,W,57.0%,21
2939,W,81.0%,21
1194,W,66.0%,21
1745,W,49.0%,21
2406,W,66.0%,21
49,W,65.0%,21
1198,W,64.0%,21
2947,W,53.0%,21
1991,W,50.0%,21
2077,W,59.0%,21
540,W,67.0%,21
2490,W,62.0%,21
1821,W,63.0%,21
3577,W,65.0%,21
2376,W,66.0%,21
2288,W,56.0%,21
3344,W,84.0%,21
1861,W,68.0%,21
1505,W,52.0%,21
806,W,73.0%,21
1963,W,79.0%,21
3269,W,54.0%,21
757,W,81.0%,21
2839,W,61.0%,21
1887,W,81.0%,21
1219,W,59.0%,21
868,W,56.0%,21
2965,W,73.0%,21
1527,W,61.0%,21
100,W,79.0%,21
1231,W,49.0%,21
2102,W,55.0%,21
1499,W,57.0%,21
2553,W,64.0%,21
2771,W,68.0%,21
1547,W,68.0%,21
1591,W,59.0%,21
1182,W,61.0%,21
1876,W,63.0%,21
3467,W,61.0%,21
2741,W,73.0%,21
3576,W,66.0%,21
333,W,66.0%,21
993,W,66.0%,21
559,W,34.0%,21
3633,W,72.0%,21
726,W,55.0%,21
2505,W,65.0%,21
1113,W,39.0%,21
3340,W,80.0%,21
2019,W,80.0%,21
605,W,38.0%,21
2721,W,69.0%,21
3570,W,63.0%,21
3070,W,66.0%,21
2096,W,57.0%,21
2332,W,58.0%,21
359,W,51.0%,21
1874,W,60.0%,21
1452,W,51.0%,21
87,W,64.0%,21
2433,W,62.0%,21
1752,W,73.0%,21
1281,W,47.0%,21
3496,W,59.0%,21
3628,W,62.0%,21
2439,W,58.0%,21
1192,W,58.0%,21
3410,W,48.0%,21
1902,W,75.0%,21
3389,W,59.0%,21
1062,W,75.0%,21
1792,W,56.0%,21
2513,W,68.0%,21
1851,W,72.0%,21
3583,W,64.0%,21
2256,W,56.0%,21
537,W,50.0%,21
2565,W,53.0%,21
2237,W,59.0%,21
1314,W,46.0%,21
2459,W,79.0%,21
773,W,61.0%,21
3117,W,52.0%,21
3245,W,81.0%,21
1175,W,31.0%,21
943,W,55.0%,21
1968,W,81.0%,21
1770,W,52.0%,21
1699,W,64.0%,21
3009,W,68.0%,21
340,W,72.0%,21
1218,W,69.0%,21
2485,W,66.0%,21
2628,W,55.0%,21
1679,W,72.0%,21
3105,W,66.0%,21
2943,W,58.0%,21
3037,W,64.0%,21
692,W,65.0%,21
2339,W,75.0%,21
2790,W,59.0%,21
873,W,53.0%,21
2745,W,75.0%,21
1344,W,66.0%,21
2807,W,68.0%,21
774,W,56.0%,21
1694,W,74.0%,21
1673,W,74.0%,21
1922,W,47.0%,21
2738,W,56.0%,21
1432,W,53.0%,21
1485,W,48.0%,21
1950,W,64.0%,21
301,W,70.0%,21
2520,W,79.0%,21
3320,W,68.0%,21
3598,W,46.0%,21
2442,W,68.0%,21
2916,W,67.0%,21
2894,W,68.0%,21
2060,W,59.0%,21
1610,W,57.0%,21
2257,W,61.0%,21
2978,W,70.0%,21
1379,W,66.0%,21
551,W,65.0%,21
388,W,63.0%,21
169,W,45.0%,21
1301,W,57.0%,21
2594,W,67.0%,21
2814,W,59.0%,21
784,W,79.0%,21
1850,W,58.0%,21
106,W,44.0%,21
3579,W,65.0%,21
2397,W,61.0%,21
1007,W,63.0%,21
3121,W,62.0%,21
778,W,62.0%,21
705,W,67.0%,21
1978,W,69.0%,21
1797,W,49.0%,21
2450,W,53.0%,21
1632,W,68.0%,21
3433,W,57.0%,21
1154,W,66.0%,21
1451,W,52.0%,21
3237,W,71.0%,21
869,W,43.0%,21
985,W,80.0%,21
1988,W,69.0%,21
2074,W,39.0%,21
1737,W,55.0%,21
1026,W,52.0%,21
653,W,43.0%,21
3629,W,61.0%,21
401,W,63.0%,21
3135,W,52.0%,21
1598,W,59.0%,21
2861,W,66.0%,21
3084,W,81.0%,21
2429,W,69.0%,21
33,W,71.0%,21
2704,W,66.0%,21
1135,W,47.0%,21
950,W,70.0%,21
2263,W,61.0%,21
3128,W,47.0%,21
3026,W,55.0%,21
2030,W,70.0%,21
892,W,60.0%,21
1661,W,56.0%,21
3590,W,76.0%,21
594,W,74.0%,21
2501,W,62.0%,21
1703,W,47.0%,21
805,W,57.0%,21
2239,W,63.0%,21
1495,W,40.0%,21
3090,W,61.0%,21
2519,W,53.0%,21
2743,W,56.0%,21
3532,W,59.0%,21
2723,W,55.0%,21
1339,W,58.0%,21
1920,W,59.0%,21
2705,W,84.0%,21
1890,W,55.0%,21
3003,W,55.0%,21
326,W,67.0%,21
3014,W,69.0%,21
2341,W,57.0%,21
768,W,57.0%,21
473,W,72.0%,21
2012,W,69.0%,21
221,W,71.0%,21
604,W,69.0%,21
2420,W,62.0%,21
1609,W,60.0%,21
364,W,67.0%,21
2875,W,52.0%,21
1507,W,67.0%,21
2995,W,55.0%,21
365,W,59.0%,21
39,W,81.0%,21
3287,W,70.0%,21
2762,W,93.0%,21
1957,W,54.0%,21
1322,W,64.0%,21
741,W,78.0%,21
3030,W,54.0%,21
2631,W,63.0%,21
3591,W,62.0%,21
422,W,71.0%,21
1412,W,72.0%,21
417,W,61.0%,21
2681,W,40.0%,21
2272,W,54.0%,21
2121,W,48.0%,21
2809,W,57.0%,21
1107,W,77.0%,21
1006,W,57.0%,21
1225,W,57.0%,21
1602,W,57.0%,21
2052,W,65.0%,21
1856,W,80.0%,21
1060,W,49.0%,21
472,W,65.0%,21
1353,W,64.0%,21
1097,W,62.0%,21
3311,W,69.0%,21
2463,W,70.0%,21
1484,W,61.0%,21
421,W,45.0%,21
2392,W,68.0%,21
28,W,77.0%,21
2367,W,77.0%,21
1355,W,66.0%,21
1158,W,66.0%,21
852,W,69.0%,21
191,W,45.0%,21
3325,W,48.0%,21
3207,W,65.0%,21
1139,W,47.0%,21
2624,W,49.0%,21
1104,W,71.0%,21
174,W,61.0%,21
2434,W,45.0%,21
3350,W,66.0%,21
975,W,66.0%,21
3352,W,58.0%,21
3599,W,64.0%,21
3159,W,64.0%,21
651,W,64.0%,21
223,W,74.0%,21
220,W,64.0%,21
2523,W,73.0%,21
1317,W,70.0%,21
2310,W,61.0%,21
119,W,84.0%,21
2838,W,59.0%,21
1926,W,69.0%,21
3272,W,62.0%,21
2714,W,69.0%,21
899,W,64.0%,21
2867,W,58.0%,21
2393,W,71.0%,21
560,W,61.0%,21
1161,W,69.0%,21
2153,W,54.0%,21
2880,W,69.0%,21
1667,W,69.0%,21
3548,W,76.0%,21
2613,W,59.0%,21
1431,W,63.0%,21
3231,W,86.0%,21
627,W,65.0%,21
1501,W,76.0%,21
677,W,66.0%,21
860,W,74.0%,21
289,W,61.0%,21
1960,W,71.0%,21
1990,W,71.0%,21
533,W,59.0%,21
1915,W,58.0%,21
1645,W,68.0%,21
2203,W,73.0%,21
2708,W,60.0%,21
3182,W,93.0%,21
1234,W,61.0%,21
758,W,70.0%,21
3073,W,75.0%,21
2955,W,61.0%,21
3648,W,68.0%,21
1332,W,68.0%,21
74,W,79.0%,21
649,W,83.0%,21
1368,W,57.0%,21
1559,W,67.0%,21
1467,W,49.0%,21
2270,W,74.0%,21
640,W,83.0%,21
2753,W,62.0%,21
1530,W,62.0%,21
1137,W,47.0%,21
1245,W,64.0%,21
1207,W,54.0%,21
3353,W,49.0%,21
3078,W,68.0%,21
847,W,62.0%,21
549,W,76.0%,21
1230,W,63.0%,21
2941,W,66.0%,21
543,W,67.0%,21
156,W,65.0%,21
2157,W,72.0%,21
1239,W,81.0%,21
3587,W,70.0%,21
1865,W,65.0%,21
794,W,78.0%,21
2815,W,88.0%,21
2369,W,66.0%,21
1465,W,74.0%,21
1461,W,46.0%,21
3489,W,67.0%,21
1870,W,65.0%,21
2970,W,67.0%,21
2042,W,55.0%,21
404,W,64.0%,21
1771,W,62.0%,21
1177,W,36.0%,21
3049,W,42.0%,21
1831,W,85.0%,21
1290,W,78.0%,21
555,W,61.0%,21
239,W,81.0%,21
3219,W,57.0%,21
3108,W,64.0%,21
2623,W,57.0%,21
2651,W,48.0%,21
1064,W,66.0%,21
2353,W,75.0%,21
2551,W,67.0%,21
3045,W,77.0%,21
3158,W,75.0%,21
2133,W,48.0%,21
2323,W,74.0%,21
1300,W,72.0%,21
1457,W,76.0%,21
175,W,55.0%,21
1496,W,70.0%,21
855,W,45.0%,21
3607,W,51.0%,21
3443,W,67.0%,21
3550,W,47.0%,21
885,W,54.0%,21
2301,W,59.0%,21
3057,W,51.0%,21
160,W,68.0%,21
2181,W,50.0%,21
584,W,68.0%,21
2217,W,75.0%,21
2783,W,73.0%,21
2145,W,53.0%,21
626,W,58.0%,21
844,W,57.0%,21
2646,W,75.0%,21
3294,W,76.0%,21
2557,W,69.0%,21
3228,W,78.0%,21
2268,W,50.0%,21
864,W,54.0%,21
2294,W,52.0%,21
1480,W,76.0%,21
485,W,79.0%,21
3190,W,56.0%,21
3509,W,60.0%,21
3250,W,69.0%,21
1880,W,63.0%,21
2990,W,73.0%,21
378,W,61.0%,21
2527,W,61.0%,21
373,W,62.0%,21
2314,W,60.0%,21
2183,W,52.0%,21
2477,W,58.0%,21
3170,W,65.0%,21
173,W,65.0%,21
23,W,65.0%,21
2111,W,33.0%,21
3516,W,75.0%,21
452,W,60.0%,21
2855,W,74.0%,21
1169,W,71.0%,21
2130,W,69.0%,21
3100,W,46.0%,21
1823,W,58.0%,21
2983,W,49.0%,21
3041,W,77.0%,21
115,W,52.0%,21
1739,W,60.0%,21
89,W,65.0%,21
600,W,64.0%,21
2761,W,57.0%,21
282,W,78.0%,21
2989,W,57.0%,21
3335,W,56.0%,21
2509,W,55.0%,21
2040,W,64.0%,21
2460,W,48.0%,21
2290,W,70.0%,21
2311,W,81.0%,21
2049,W,73.0%,21
2281,W,66.0%,21
2822,W,63.0%,21
1515,W,63.0%,21
3260,W,64.0%,21
3491,W,52.0%,21
198,W,69.0%,21
3420,W,89.0%,21
3031,W,76.0%,21
2003,W,84.0%,21
2977,W,56.0%,21
312,W,83.0%,21
1564,W,81.0%,21
876,W,65.0%,21
2785,W,62.0%,21
2828,W,54.0%,21
1541,W,73.0%,21
1808,W,52.0%,21
2372,W,66.0%,21
2140,W,73.0%,21
385,W,56.0%,21
929,W,54.0%,21
2137,W,44.0%,21
3161,W,60.0%,21
526,W,65.0%,21
2696,W,75.0%,21
27,W,62.0%,21
2787,W,62.0%,21
2413,W,61.0%,21
1912,W,73.0%,21
3210,W,76.0%,21
3635,W,54.0%,21
2611,W,36.0%,21
2979,W,74.0%,21
2315,W,64.0%,21
2976,W,51.0%,21
2758,W,78.0%,21
2000,W,64.0%,21
46,W,77.0%,21
1167,W,60.0%,21
2820,W,41.0%,21
1786,W,51.0%,21
740,W,83.0%,21
2926,W,75.0%,21
2370,W,71.0%,21
1538,W,66.0%,21
1291,W,64.0%,21
1757,W,78.0%,21
1608,W,54.0%,21
2601,W,53.0%,21
3019,W,64.0%,21
1140,W,66.0%,21
58,W,66.0%,21
20,W,60.0%,21
248,W,47.0%,21
1068,W,52.0%,21
2711,W,52.0%,21
374,W,60.0%,21
937,W,63.0%,21
124,W,75.0%,21
572,W,73.0%,21
2160,W,36.0%,21
1408,W,78.0%,21
358,W,81.0%,21
2224,W,56.0%,21
2773,W,67.0%,21
553,W,80.0%,21
2283,W,54.0%,21
2102,W,55.0%,21
422,W,71.0%,21
2237,W,59.0%,21
1745,W,49.0%,21
1355,W,66.0%,21
3575,W,68.0%,21
1060,W,49.0%,21
3208,W,72.0%,21
283,W,71.0%,21
160,W,68.0%,21
2565,W,53.0%,21
1524,W,53.0%,21
2738,W,56.0%,21
2042,W,55.0%,21
2705,W,84.0%,21
3197,W,58.0%,21
2970,W,67.0%,21
2174,W,67.0%,21
1897,W,46.0%,21
2408,W,47.0%,21
1960,W,71.0%,21
309,W,45.0%,21
3073,W,75.0%,21
1137,W,47.0%,21
3219,W,57.0%,21
358,W,81.0%,21
2433,W,62.0%,21
1291,W,64.0%,21
3507,W,79.0%,21
998,W,39.0%,21
2224,W,56.0%,21
1174,W,79.0%,21
2485,W,66.0%,21
2308,W,53.0%,21
364,W,67.0%,21
3484,W,59.0%,21
2332,W,58.0%,21
2019,W,80.0%,21
359,W,51.0%,21
